"","disease","state_name","percent_decline","accrual_years","accrual_label","baseline_coverage","cases","additional_cases","cases_per_100k","additional_cases_per_100k","hospitalizations","additional_hospitalizations","hospitalizations_per_100k","additional_hospitalizations_per_100k","deaths","additional_deaths","deaths_per_100k","additional_deaths_per_100k","workdays_lost","additional_workdays_lost","workdays_lost_per_100k","additional_workdays_lost_per_100k","productivity_cost","additional_productivity_cost","productivity_cost_per_100k","additional_productivity_cost_per_100k","hospitalization_cost","additional_hospitalization_cost","hospitalization_cost_per_100k","additional_hospitalization_cost_per_100k","total_cost","additional_total_cost","total_cost_per_100k","additional_total_cost_per_100k"
"6376","Pneumococcal","Washington",16,5,"5 Years",0.931,80.5410472922688,80.5410472922688,18.4122019354436,18.4122019354436,80.5410472922688,80.5410472922688,18.4122019354436,18.4122019354436,2.97220941527186,2.97220941527186,0.679466207458482,0.679466207458482,644.328378338151,644.328378338151,147.297615483548,147.297615483548,128865.67566763,128865.67566763,29459.5230967097,29459.5230967097,1532857.21206646,1532857.21206646,350421.027235362,350421.027235362,1661722.88773409,1661722.88773409,379880.550332072,379880.550332072
"6377","Pneumococcal","Washington",17,1,"1 Year",0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6378","Pneumococcal","Washington",17,5,"5 Years",0.931,84.9725493211512,84.9725493211512,19.4252718293204,19.4252718293204,84.9725493211512,84.9725493211512,19.4252718293204,19.4252718293204,3.13574530779936,3.13574530779936,0.716851565336716,0.716851565336716,679.78039456921,679.78039456921,155.402174634563,155.402174634563,135956.078913842,135956.078913842,31080.4349269127,31080.4349269127,1617197.55868015,1617197.55868015,369701.773455626,369701.773455626,1753153.63759399,1753153.63759399,400782.208382539,400782.208382539
"6379","Pneumococcal","Washington",18,1,"1 Year",0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6380","Pneumococcal","Washington",18,5,"5 Years",0.931,89.1562373629629,89.1562373629629,20.3816898503229,20.3816898503229,89.1562373629629,89.1562373629629,20.3816898503229,20.3816898503229,3.29013611107895,3.29013611107895,0.752146296936662,0.752146296936662,713.249898903703,713.249898903703,163.053518802583,163.053518802583,142649.979780741,142649.979780741,32610.7037605166,32610.7037605166,1696821.50949191,1696821.50949191,387904.321231345,387904.321231345,1839471.48927265,1839471.48927265,420515.024991862,420515.024991862
"6381","Pneumococcal","Washington",19,1,"1 Year",0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6382","Pneumococcal","Washington",19,5,"5 Years",0.931,93.112333017527,93.112333017527,21.2860787863575,21.2860787863575,93.112333017527,93.112333017527,21.2860787863575,21.2860787863575,3.43612806359904,3.43612806359904,0.785520997181064,0.785520997181064,744.898664140216,744.898664140216,170.28863029086,170.28863029086,148979.732828043,148979.732828043,34057.7260581719,34057.7260581719,1772113.92198957,1772113.92198957,405116.651461955,405116.651461955,1921093.65481762,1921093.65481762,439174.377520127,439174.377520127
"6383","Pneumococcal","Washington",20,1,"1 Year",0.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6384","Pneumococcal","Washington",20,5,"5 Years",0.931,96.8589160351911,96.8589160351911,22.1425717847513,22.1425717847513,96.8589160351911,96.8589160351911,22.1425717847513,22.1425717847513,3.57438836309316,3.57438836309316,0.817128191767232,0.817128191767232,774.871328281529,774.871328281529,177.14057427801,177.14057427801,154974.265656306,154974.265656306,35428.114855602,35428.114855602,1843418.88998176,1843418.88998176,421417.426207386,421417.426207386,1998393.15563806,1998393.15563806,456845.541062988,456845.541062988
"6385","Pneumococcal","West Virginia",0,1,"1 Year",0.757,17.6958145297813,0,19.8143666074498,0,17.6958145297813,0,19.8143666074498,0,0.653029335035343,0,0.731210345137438,0,141.56651623825,0,158.514932859598,0,28313.30324765,0,31702.9865719197,0,336786.742130797,0,377107.025272984,0,365100.045378447,0,408810.011844904,0
"6386","Pneumococcal","West Virginia",0,5,"5 Years",0.757,17.6958145297813,0,19.8143666074498,0,17.6958145297813,0,19.8143666074498,0,0.653029335035343,0,0.731210345137438,0,141.56651623825,0,158.514932859598,0,28313.30324765,0,31702.9865719197,0,336786.742130797,0,377107.025272984,0,365100.045378447,0,408810.011844904,0
"6387","Pneumococcal","West Virginia",1,1,"1 Year",0.757,17.8666131223567,0.170798592575412,20.0056132959608,0.191246688511009,17.8666131223567,0.170798592575412,20.0056132959608,0.191246688511009,0.659332322170904,0.00630298713556143,0.738267929156295,0.0070575840188577,142.932904978853,1.3663887406033,160.044906367686,1.52997350808808,28586.5809957707,273.277748120658,32008.9812735373,305.994701617613,340037.380944692,3250.63881389529,380746.832248726,3639.80697574158,368623.961940463,3523.91656201595,412755.813522263,3945.80167735919
"6388","Pneumococcal","West Virginia",1,5,"5 Years",0.757,18.5309163219866,0.835101792205375,20.7494472185993,0.935080611149477,18.5309163219866,0.835101792205375,20.7494472185993,0.935080611149477,0.683847129103703,0.0308177940683604,0.765717661467845,0.0345073163304076,148.247330575893,6.680814337643,165.995577748794,7.48064488919582,29649.4661151786,1336.1628675286,33199.1155497588,1496.12897783916,352680.399440049,15893.6573092527,394903.479464381,17796.4541913969,382329.865555228,17229.8201767813,428102.59501414,19292.583169236
"6389","Pneumococcal","West Virginia",2,1,"1 Year",0.757,18.0354907272515,0.339676197470215,20.1947090151515,0.380342407701679,18.0354907272515,0.339676197470215,20.1947090151515,0.380342407701679,0.665564419023028,0.0125350839876853,0.745246135870278,0.0140357907328406,144.283925818012,2.71740957976172,161.557672121212,3.04273926161343,28856.7851636023,543.481915952343,32311.5344242423,608.547852322685,343251.45952105,6464.71739025315,384345.701976363,7238.67670337836,372108.244684652,7008.1993062055,416657.236400605,7847.22455570105
"6390","Pneumococcal","West Virginia",2,5,"5 Years",0.757,19.3210775775648,1.62526304778356,21.6342069888082,1.8198403813584,19.3210775775648,1.62526304778356,21.6342069888082,1.8198403813584,0.713006480792913,0.05997714575757,0.798367985838797,0.0671576407013593,154.568620620519,13.0021043822685,173.073655910465,14.5587230508672,30913.7241241037,2600.4208764537,34614.7311820931,2911.74461017344,367718.748456214,30932.0063254168,411742.227410997,34635.2021380132,398632.472580317,33532.4272018705,446356.958593091,37546.9467481867
"6391","Pneumococcal","West Virginia",3,1,"1 Year",0.757,18.2024795715264,0.506665041745105,20.3816898503229,0.567323242873097,18.2024795715264,0.506665041745105,20.3816898503229,0.567323242873097,0.671726814868194,0.0186974798328513,0.752146296936662,0.0209359517992244,145.619836572211,4.05332033396084,163.053518802583,4.53858594298477,29123.9673144422,810.664066792167,32610.7037605166,907.717188596954,346429.59120529,9642.84907449287,387904.321231345,10797.2959583608,375553.558519732,10453.513141285,420515.024991862,11705.0131469578
"6392","Pneumococcal","West Virginia",3,5,"5 Years",0.757,20.069830918307,2.37401638852576,22.4726014671776,2.65823485972786,20.069830918307,2.37401638852576,22.4726014671776,2.65823485972786,0.740637754582965,0.087608419547622,0.829307290033328,0.0980969448958906,160.558647346456,18.9921311082061,179.780811737421,21.2658788778229,32111.7294692912,3798.42622164121,35956.1623474842,4253.17577556457,381969.022037219,45182.2799064222,427698.551123325,50591.5258503406,414080.75150651,48980.7061280634,463654.713470809,54844.7016259052
"6393","Pneumococcal","West Virginia",4,1,"1 Year",0.757,18.3676111653831,0.671796635601865,20.5665910840945,0.752224476644718,18.3676111653831,0.671796635601865,20.5665910840945,0.752224476644718,0.67782067252861,0.0247913374932671,0.758969714391331,0.0277593692538934,146.940889323065,5.37437308481492,164.532728672756,6.01779581315775,29388.177864613,1074.87461696298,32906.5457345512,1203.55916263155,349572.375699572,12785.6335687747,391423.361512487,14316.3362395023,378960.553564185,13860.5081857378,424329.907247038,15519.8954021339
"6394","Pneumococcal","West Virginia",4,5,"5 Years",0.757,20.7803481699068,3.08453364012552,23.2681822120155,3.45381560456568,20.7803481699068,3.08453364012552,23.2681822120155,3.45381560456568,0.766858000481364,0.113828665446021,0.858666637346446,0.127456292209009,166.242785359254,24.6762691210041,186.145457696124,27.6305248365254,33248.5570718508,4935.25382420083,37229.0915392247,5526.10496730509,395491.586369666,58704.8442388689,442840.043859078,65733.018586094,428740.143441516,63640.0980630697,480069.135398303,71259.1235533991
"6395","Pneumococcal","West Virginia",5,1,"1 Year",0.757,18.5309163219866,0.835101792205375,20.7494472185993,0.935080611149477,18.5309163219866,0.835101792205375,20.7494472185993,0.935080611149477,0.683847129103703,0.0308177940683604,0.765717661467845,0.0345073163304076,148.247330575893,6.680814337643,165.995577748794,7.48064488919582,29649.4661151786,1336.1628675286,33199.1155497588,1496.12897783916,352680.399440049,15893.6573092527,394903.479464381,17796.4541913969,382329.865555228,17229.8201767813,428102.59501414,19292.583169236
"6396","Pneumococcal","West Virginia",5,5,"5 Years",0.757,21.4554852764861,3.75967074670488,24.0241470825527,4.20978047510289,21.4554852764861,3.75967074670488,24.0241470825527,4.20978047510289,0.791772611505639,0.138743276470296,0.886564038502305,0.155353693364868,171.643882211889,30.0773659736391,192.193176660421,33.6782438008231,34328.7764423778,6015.47319472782,38438.6353320843,6735.64876016462,408340.795782084,71554.0536512874,457227.567275142,80120.5420021582,442669.572224462,77569.5268460152,495666.202607227,86856.1907623228
"6397","Pneumococcal","West Virginia",6,1,"1 Year",0.757,18.6924251766328,0.996610646851547,20.9302919969463,1.11592538949651,18.6924251766328,0.996610646851547,20.9302919969463,1.11592538949651,0.689807296677477,0.0367779616421338,0.77239138338948,0.0411810382520421,149.539401413062,7.97288517481238,167.44233597557,8.92740311597211,29907.8802826125,1594.57703496247,33488.4671951141,1785.48062319442,355754.235961675,18967.4938308786,398345.317285882,21238.2920128977,385662.116244288,20562.0708658411,431833.784480996,23023.7726360921
