"","state_fips_code","state_name","age_group_population","age_group","age_group_length"
"1","01","Alabama",294417,"0-4 years",5
"2","02","Alaska",47825,"0-4 years",5
"3","04","Arizona",399499,"0-4 years",5
"4","05","Arkansas",182438,"0-4 years",5
"5","06","California",2214141,"0-4 years",5
"6","08","Colorado",315470,"0-4 years",5
"7","09","Connecticut",181240,"0-4 years",5
"8","10","Delaware",54545,"0-4 years",5
"9","11","District of Columbia",40916,"0-4 years",5
"10","12","Florida",1114328,"0-4 years",5
"11","13","Georgia",639111,"0-4 years",5
"12","15","Hawaii",82021,"0-4 years",5
"13","16","Idaho",113266,"0-4 years",5
"14","17","Illinois",708630,"0-4 years",5
"15","18","Indiana",411823,"0-4 years",5
"16","19","Iowa",188580,"0-4 years",5
"17","20","Kansas",179460,"0-4 years",5
"18","21","Kentucky",267363,"0-4 years",5
"19","22","Louisiana",289071,"0-4 years",5
"20","23","Maine",62915,"0-4 years",5
"21","24","Maryland",359340,"0-4 years",5
"22","25","Massachusetts",350335,"0-4 years",5
"23","26","Michigan",549541,"0-4 years",5
"24","27","Minnesota",339105,"0-4 years",5
"25","28","Mississippi",177145,"0-4 years",5
"26","29","Missouri",359915,"0-4 years",5
"27","30","Montana",58832,"0-4 years",5
"28","31","Nebraska",127005,"0-4 years",5
"29","32","Nevada",176957,"0-4 years",5
"30","33","New Hampshire",63205,"0-4 years",5
"31","34","New Jersey",526400,"0-4 years",5
"32","35","New Mexico",112949,"0-4 years",5
"33","36","New York",1102961,"0-4 years",5
"34","37","North Carolina",598313,"0-4 years",5
"35","38","North Dakota",51372,"0-4 years",5
"36","39","Ohio",675616,"0-4 years",5
"37","40","Oklahoma",247646,"0-4 years",5
"38","41","Oregon",212485,"0-4 years",5
"39","42","Pennsylvania",685379,"0-4 years",5
"40","44","Rhode Island",53813,"0-4 years",5
"41","45","South Carolina",287868,"0-4 years",5
"42","46","South Dakota",58121,"0-4 years",5
"43","47","Tennessee",409675,"0-4 years",5
"44","48","Texas",1928242,"0-4 years",5
"45","49","Utah",238146,"0-4 years",5
"46","50","Vermont",28053,"0-4 years",5
"47","51","Virginia",495281,"0-4 years",5
"48","53","Washington",437433,"0-4 years",5
"49","54","West Virginia",89308,"0-4 years",5
"50","55","Wisconsin",320451,"0-4 years",5
"51","56","Wyoming",31948,"0-4 years",5
"52","72","Puerto Rico",107055,"0-4 years",5
"53","1","United States",18939899,"0-4 years",5
